Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",3,4.32,Scribner,Hardcover,531,2014,2014,,2021/06/02,,,read,,,,1,,,0,,,,,
18405,Gone with the Wind,Margaret Mitchell,"Mitchell, Margaret",,"=""0446675539""","=""9780446675536""",5,4.30,Warner Books,Mass Market Paperback,1037,1999,1936,,2021/06/02,,,read,,,,1,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz","Stanley Corngold, Mircea Ivănescu","=""""","=""""",2,3.83,Bantam Classics,Paperback,201,1972,1915,,2021/06/02,,,read,,,,1,,,0,,,,,
14935,Sense and Sensibility,Jane Austen,"Austen, Jane","Rosalind Ballaster, Sara Singh, Sam Ngo, Juliet Stevenson, Tony Tanner, Ros Ballaster","=""""","=""""",4,4.08,Penguin Books,Paperback,409,2003,1811,,2021/06/02,,,read,,,,1,,,0,,,,,
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, James Noel Smith","=""0062315005""","=""9780062315007""",1,3.89,HarperOne,Paperback,182,2014,1988,,2021/06/02,,,read,,,,1,,,0,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""""","=""""",2,4.28,Harper Perennial Modern Classics ,Paperback,324,2006,1960,,2021/06/02,,,read,,,,1,,,0,,,,,
6442769,Paper Towns,John Green,"Green, John",,"=""014241493X""","=""9780142414934""",4,3.78,Speak,Paperback,305,2009,2008,,2021/06/02,,,read,,,,1,,,0,,,,,
24178,Charlotte's Web,E.B. White,"White, E.B.","Garth Williams, Rosemary Wells","=""0064410935""","=""9780064410939""",4,4.17,HarperCollinsPublishers,Paperback,184,2001,1952,,2021/06/02,,,read,,,,1,,,0,,,,,
35504431,Turtles All the Way Down,John Green,"Green, John",,"=""0525555366""","=""9780525555360""",4,3.94,Dutton Books for Young Readers,Hardcover,286,2017,2017,,2021/06/02,,,read,,,,1,,,0,,,,,
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",4,4.05,Scholastic Press,Hardcover,398,2010,2010,,2021/06/02,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.32,Scholastic Press,Hardcover,374,2008,2008,,2021/06/02,,,read,,,,1,,,0,,,,,
11870085,The Fault in Our Stars,John Green,"Green, John",,"=""""","=""""",4,4.19,Dutton Books,Hardcover,313,2012,2012,,2021/06/02,,,read,,,,1,,,0,,,,,
